id,type,bot_id,max_safety_orders,deal_has_error,from_currency_id,to_currency_id,account_id,active_safety_orders_count,created_at,updated_at,closed_at,finished?,current_active_safety_orders_count,current_active_safety_orders,completed_safety_orders_count,completed_manual_safety_orders_count,cancellable?,panic_sellable?,trailing_enabled,tsl_enabled,stop_loss_timeout_enabled,stop_loss_timeout_in_seconds,active_manual_safety_orders,pair,status,take_profit,base_order_volume,safety_order_volume,safety_order_step_percentage,bought_amount,bought_volume,bought_average_price,sold_amount,sold_volume,sold_average_price,take_profit_type,final_profit,martingale_coefficient,martingale_volume_coefficient,martingale_step_coefficient,stop_loss_percentage,error_message,profit_currency,stop_loss_type,safety_order_volume_type,base_order_volume_type,from_currency,to_currency,current_price,take_profit_price,stop_loss_price,final_profit_percentage,actual_profit_percentage,bot_name,account_name,usd_final_profit,actual_profit,actual_usd_profit,failed_message,reserved_base_coin,reserved_second_coin,trailing_deviation,trailing_max_price,tsl_max_price,strategy
118773002,Deal,1035623,3,False,0,0,29001794,1,2020-05-17T10:02:46.025Z,2020-05-17T12:45:33.683Z,2020-05-17T12:45:33.683Z,True,0,0,3,0,False,False,False,False,False,0,0,BTC_ARK,completed,1.32,0.005,0.0025,0.48,1829.0,0.03758688904,0.000020550513417167851284855,1829.0,0.0381060490125,0.0000208343625,total,0.00051916,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,ARK,0.0,0,,1.36,0,"Berlin (BTC, 1.32%, 25x)",,5.06,0.0005191599725,5.061679941881875,,-0.0005191599725,0.0,0.2,,,long
118750617,Deal,1035623,3,False,0,0,29001794,1,2020-05-17T07:41:48.813Z,2020-05-17T12:29:49.628Z,,False,1,1,2,0,True,True,False,False,False,0,0,BTC_IOTA,bought,1.32,0.005,0.0025,0.48,716.0,0.0150359985475,0.000020999997971368715083799,0.0,0.0,0,total,-0.00012233,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,IOTA,2.083e-05,0.0000213,,0,-0.81,"Berlin (BTC, 1.32%, 25x)",,-1.19,-0.0001366328275,-1.332135909918125,,0.0150359985475,716.0,0.2,,,long
118734794,Deal,1035623,3,False,0,0,29001794,1,2020-05-17T06:14:08.874Z,2020-05-17T07:10:28.886Z,2020-05-17T07:10:28.886Z,True,0,0,0,0,False,False,False,False,False,0,0,BTC_REN,completed,1.32,0.005,0.0025,0.48,589.0,0.005010254875,0.000008506375,589.0,0.0050792576975,0.0000086235275,total,0.000069,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,REN,0.0,0,,1.36,0,"Berlin (BTC, 1.32%, 25x)",,0.67,0.0000690028225,0.672760268669375,,-0.0000690028225,0.0,0.2,,,long
118734654,Deal,1035623,3,False,0,0,29001794,1,2020-05-17T06:13:17.719Z,2020-05-17T07:54:55.343Z,2020-05-17T07:54:55.343Z,True,0,0,1,0,False,False,False,False,False,0,0,BTC_PERL,completed,1.32,0.005,0.0025,0.48,4728.0,0.0075073162675,0.000001587841850148054145516,4728.0,0.00765361548,0.000001618785,total,0.0001463,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,PERL,0.0,0,,1.91,0,"Berlin (BTC, 1.32%, 25x)",,1.43,0.0001462992125,1.426380747071875,,-0.0001462992125,0.0,0.2,,,long
118734610,Deal,1035623,3,False,0,0,29001794,1,2020-05-17T06:13:09.783Z,2020-05-17T09:48:19.378Z,2020-05-17T09:48:19.378Z,True,0,0,1,0,False,False,False,False,False,0,0,BTC_MATIC,completed,1.32,0.005,0.0025,0.48,3495.0,0.00750818692,0.000002148265213161659513591,3495.0,0.007613385675,0.000002178365,total,0.0001052,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,MATIC,0.0,0,,1.38,0,"Berlin (BTC, 1.32%, 25x)",,1.03,0.000105198755,1.02566156156125,,-0.000105198755,0.0,0.2,,,long
118731688,Deal,1035623,3,False,0,0,29001794,1,2020-05-17T05:51:57.635Z,2020-05-17T09:53:49.525Z,2020-05-17T09:53:49.524Z,True,0,0,0,0,False,False,False,False,False,0,0,BTC_CHR,completed,1.32,0.005,0.0025,0.48,2500.0,0.00500375,0.0000020015,2500.0,0.00507119375,0.0000020284775,total,0.00006744,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,CHR,0.0,0,,1.33,0,"Berlin (BTC, 1.32%, 25x)",,0.66,0.00006744375,0.6575597015625,,-0.00006744375,0.0,0.2,,,long
118726058,Deal,1035623,3,False,0,0,29001794,1,2020-05-17T05:14:07.456Z,2020-05-17T13:02:21.276Z,,False,0,0,3,0,True,True,False,False,False,0,0,BTC_DUSK,bought,1.32,0.005,0.0025,0.48,16825.0,0.0375314775125,0.000002230697028974739970282,0.0,0.0,0,total,-0.00088966,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,DUSK,2.15e-06,0.00000227,,0,-3.62,"Berlin (BTC, 1.32%, 25x)",,-8.67,-0.0013939012625,-13.590188834059375,,0.0375314775125,16825.0,0.2,,,long
118697978,Deal,1035623,3,False,0,0,29001794,1,2020-05-17T02:15:13.084Z,2020-05-17T02:48:20.608Z,2020-05-17T02:48:20.608Z,True,0,0,1,0,False,False,False,False,False,0,0,BTC_DASH,completed,1.32,0.005,0.0025,0.48,0.948,0.00751470680625,0.007926905913765823,0.948,0.00761620356,0.00803397,total,0.0001015,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,DASH,0.0,0,,1.33,0,"Berlin (BTC, 1.32%, 25x)",,0.99,0.00010149675375,0.9895679748740625,,-0.00010149675375,0.0,0.2,,,long
118692526,Deal,1035623,3,False,0,0,29001794,1,2020-05-17T01:42:55.328Z,2020-05-17T08:00:38.769Z,2020-05-17T08:00:38.769Z,True,0,0,2,0,False,False,False,False,False,0,0,BTC_AST,completed,1.32,0.005,0.0025,0.48,9131.0,0.01501549318,0.000001644452215529514839558,9131.0,0.0152373334225,0.0000016687475,total,0.00022184,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,AST,0.0,0,,1.46,0,"Berlin (BTC, 1.32%, 25x)",,2.16,0.0002218402425,2.162886904314375,,-0.0002218402425,0.0,0.2,,,long
118679691,Deal,1035623,3,False,0,0,29001794,1,2020-05-17T00:31:30.725Z,2020-05-17T01:53:42.459Z,2020-05-17T01:53:42.459Z,True,0,0,2,0,False,False,False,False,False,0,0,BTC_BLZ,completed,1.32,0.005,0.0025,0.48,9242.0,0.0150130213275,0.00000162443424880978143259,9242.0,0.015237863025,0.0000016487625,total,0.00022484,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,BLZ,0.0,0,,1.48,0,"Berlin (BTC, 1.32%, 25x)",,2.19,0.0002248416975,2.192150340200625,,-0.0002248416975,0.0,0.2,,,long
